Country or Area,Year,Value
Canada,2012,1.61
Canada,2011,1.61
Canada,2010,1.6269
Canada,2009,1.668
Canada,2008,1.6808
Canada,2007,1.6589
Canada,2006,1.5862
Canada,2005,1.54
Canada,2004,1.53
Canada,2003,1.53
Canada,2002,1.52
